Area,Curso,,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Biológicas,Fonoaudiologia                          ,CV,,,,,,,15,18.8,12.9,14.2,10.7,10.6,9.4,7.8,8.4,9,6.8,9.5,9.5,11,10.9,12.3,14.6
Biológicas,Fonoaudiologia                          ,CR,,,,,,,0.8416857143,0.8414,0.8347521739,0.8269444444,0.8428304348,0.8446892857,0.8435041667,0.8027857143,0.8351310345,0.8121130435,0.7794130435,0.80747,,,,,
Humanas ,História                                ,CV,10.6,10.6,8.9,8.6,14,14.7,18.1,19.1,20.2,23.8,21.5,22.1,19.9,15.6,17.3,15.7,16.4,19.4,22.1,27.5,26.2,30.3,31.8
Humanas ,História                                ,CR,0.6923230769,0.7182647059,0.743175,0.7670222222,0.7633863636,0.8058534884,0.7944021277,0.8207846154,0.8408238095,0.8352943396,0.8261653846,0.8476195652,0.8327217391,0.8320375,0.8509102041,0.847426,0.8241444444,0.8693173913,0.8027333333,0.8682916667,0.8657111111,0.9015,
Humanas ,Licenciatura em Letras - Português      ,CV,,,,6.6,13.5,10.3,14.4,13.5,14.9,41.7,44.1,35.5,31.6,25,26.6,24.7,23.6,24.6,25.4,29.9,31.4,31.3,35.7
Humanas ,Licenciatura em Letras - Português      ,CR,0.7656060606,0.7589025641,0.7567407407,0.7905297872,0.8122762712,0.8060705882,0.8002241379,0.8074408451,0.8347532258,0.8521549296,0.8587298246,0.8556267857,0.8568509804,0.8297054545,0.8427132075,0.7898882353,0.8417425,0.7810909091,0.8103,0.7072,,,
Humanas ,Licenciatura Integrada Química/Física   ,CV,,,,1.5,10.4,2.3,12.2,3.7,11.6,16.1,9.4,8.6,7.6,5.1,5.2,4.3,4.9,5.1,3.7,7.3,5.3,8.5,5.1
Humanas ,Licenciatura Integrada Química/Física   ,CR,,,,0.6239272727,0.6282,0.64122,0.67836875,0.5901166667,0.6125214286,0.6357894737,0.6768681818,0.6087230769,0.5223571429,0.5891333333,0.6515428571,0.78355,0.7519,0.8661,0.716825,,,,
Humanas ,Linguística                             ,CV,,,,3.2,7.2,8.6,7.9,10.7,6.8,8.5,7.7,7.5,5.9,6.7,5.8,6.5,5.2,4.9,8.4,5.7,7,5.7,7.9
Humanas ,Linguística                             ,CR,,,,0.7737529412,0.7810833333,0.8149869565,0.80844375,0.78579,0.7999105263,0.83176875,0.85930625,0.825755,0.8304666667,0.7978526316,0.8278642857,0.8181733333,0.8627666667,0.8077285714,0.8356,,,,
Biológicas,Medicina                                ,CV,114.8,95,84.3,89.5,117.2,127.3,124.2,118.8,122,129.7,120.5,125.1,126.7,127.3,152.2,166.9,183,199.3,219.9,203.8,220.1,221,278.9
Biológicas,Medicina                                ,CR,0.8248355556,0.8239452632,0.8188495327,0.8156481481,0.810459633,0.8171209091,0.8037858407,0.814380531,0.8316877358,0.809954902,0.8244027778,0.8332514019,0.8373765766,0.8305268519,0.8402205607,0.8423032967,,,,,,,
Outras,Música                                  ,CV,16.6,21.9,17.6,20.5,25.9,25.7,30,28.5,30.2,34.8,42.5,42.1,39,30.1,33.5,36,36.9,36.5,151.3,152.5,173.3,128.5,151.2
Outras,Música                                  ,CR,0.8044441176,0.8168105263,0.7937134615,0.7991711538,0.8248203704,0.809248,0.8047157895,0.79914,0.8369615385,0.8150689655,0.8281483871,0.8422116667,0.8170472222,0.8121107692,0.820815,0.8304531915,0.8314567568,0.84413125,0.8453125,0.87746,0.9275,,
Biológicas,Nutrição                                ,CV,,,,,,,,,,,,,,10.3,12.2,11.6,10.1,10.6,12.8,17.1,18.8,20.9,20.8
Biológicas,Nutrição                                ,CR,,,,,,,,,,,,,,0.795266,0.7830818182,0.634837037,0.6472326923,0.7891884615,,,,,
Biológicas,Odontologia                             ,CV,39.3,36.6,30.6,28,22.9,19.8,17.9,15.3,15.6,14.4,13.6,13.1,12.1,11.6,14.1,16.6,16.4,18.5,19,23.7,25.9,27.5,32.1
Biológicas,Odontologia                             ,CR,0.7756155844,0.7762958904,0.7584131579,0.7698367089,0.7576839506,0.757572,0.7552090909,0.7429333333,0.7442641026,0.7549376623,0.7517168831,0.7562780822,0.7582064935,0.7815986842,0.7829666667,0.772830137,0.7854684932,,,,,,
Exatas,Química                                 ,CV,5.8,6.4,5.4,6.6,7.3,9.3,10.2,10.9,9.6,11.1,10.7,11.1,10.8,10.5,10,10.6,9.9,10.9,12.7,13.4,12.5,11.5,12.6
Exatas,Química                                 ,CR,0.6510189655,0.6583268657,0.6486391892,0.6298873239,0.6791506849,0.6726364865,0.6635553846,0.6738,0.6674369048,0.6735179775,0.6925360656,0.6526094595,0.6375246377,0.6619698413,0.6386689655,0.6630322034,0.6527090909,0.7102444444,0.7185333333,0.6703875,0.73205,,
Exatas,Química Tecnológica                     ,CV,,,8,5.6,12.4,10.5,12.6,8.4,10.9,10.7,11.2,9.6,9.9,8.8,9.2,7,7.5,7.4,8.7,7,8,6,6.8
Exatas,Química Tecnológica                     ,CR,,,0.6290619048,0.63255,0.701132,0.62815,0.6588142857,0.5970391304,0.6163703704,0.605256,0.6585772727,0.6091657143,0.5737653846,0.6033033333,0.5811,0.61465625,0.6557666667,0.5291,0.5457,,,,
