LATITUDE,LONGITUDE,MUNICIPIO
-11.69,-41.46,CAFARNAUM
-13.48,-39.04,CAIRU
-11.02,-40.3,CALDEIRAO GRANDE
-15.41,-39.49,CAMACAN
-12.69,-38.32,CAMACARI
-13.94,-39.1,CAMAMU
-9.51,-43.01,CAMPO ALEGRE DE LOURDES
-10.5,-40.32,CAMPO FORMOSO
-13.07,-44.2,CANAPOLIS
-11.68,-41.76,CANARANA
-15.67,-38.94,CANAVIEIRAS
-11.8,-39.11,CANDEAL
-12.66,-38.55,CANDEIAS
-14.41,-42.86,CANDIBA
-15.5,-41.23,CANDIDO SALES
-10.67,-39.49,CANSANCAO
-9.9,-39.13,CANUDOS
-11.66,-39.83,CAPELA DO ALTO ALEGRE
-11.38,-40.01,CAPIM GROSSO
-14.6,-41.33,CARAIBAS
-17.73,-39.26,CARAVELAS
-11.94,-37.94,CARDEAL DA SILVA
-14.3,-43.76,CARINHANHA
-9.16,-40.97,CASA NOVA
-12.76,-39.42,CASTRO ALVES
-12.31,-44.86,CATOLANDIA
-12.35,-38.37,CATU
-13.32,-42.29,CATURAMA
-11.13,-42.11,CENTRAL
-8.98,-39.09,CHORROCHO
-10.6,-38.38,CICERO DANTAS
-11.1,-38.51,CIPO
-14.64,-39.55,COARACI
-14.18,-44.53,COCOS
-12.5,-38.99,CONCEICAO DA FEIRA
-12.8,-39.16,CONCEICAO DO ALMEIDA
-11.56,-39.28,CONCEICAO DO COITE
-12.42,-38.72,CONCEICAO DO JACUIPE
-11.81,-37.61,CONDE
-14.89,-41.96,CONDEUBA
-13.76,-41.04,CONTENDAS DO SINCORA
-12.23,-38.75,CORACAO DE MARIA
-15.03,-41.93,CORDEIROS
-13.82,-44.45,CORIBE
-10.28,-37.92,CORONEL JOAO SA
-13.34,-44.63,CORRENTINA
-12.02,-44.25,COTEGIPE
-13.35,-39.81,CRAVOLANDIA
-11.51,-38.15,CRISOPOLIS
-12.23,-44.42,CRISTOPOLIS
-12.67,-39.1,CRUZ DAS ALMAS
-8.99,-39.9,CURACA
-14.43,-39.9,DARIO MEIRA
-12.61,-38.29,DIAS D'AVILA
-13.76,-41.77,DOM BASILIO
-12.9,-39.19,DOM MACEDO COSTA
-12.94,-39.52,ELISIO MEDRADO
-15.53,-40.9,ENCRUZILHADA
-11.94,-38.08,ENTRE RIOS
-13.41,-42.14,ERICO CARDOSO
-11.79,-37.94,ESPLANADA
-10.5,-39.01,EUCLIDES DA CUNHA
-16.37,-39.58,EUNAPOLIS
-10.6,-38.21,FATIMA
-14.2,-44.28,FEIRA DA MATA
-12.26,-38.96,FEIRA DE SANTANA
-10.74,-40.13,FILADELFIA
-14.98,-39.92,FIRMINO ALVES
-14.86,-39.66,FLORESTA AZUL
-11.04,-45.19,FORMOSA DO RIO PRETO
-13.74,-39.48,GANDU
-11.47,-39.78,GAVIAO
-11.42,-42.5,GENTIO DO OURO
-9.33,-38.25,GLORIA
-14.32,-39.46,GONGOGI
-12.6,-39.04,GOVERNADOR MANGABEIRA
-14.54,-41.94,GUAJERU
-14.22,-42.78,GUANAMBI
-16.58,-39.78,GUARATINGA
-10.68,-38.28,HELIOPOLIS
-12.76,-40.21,IACU
-14.25,-42.25,IBIASSUCE
-14.86,-39.58,IBICARAI
-13.41,-41.28,IBICOARA
-14.84,-39.98,IBICUI
-11.64,-42.01,IBIPEBA
-12.88,-42.48,IBIPITANGA
-12.65,-40.93,IBIQUERA
-14.16,-39.37,IBIRAPITANGA
-17.68,-40.1,IBIRAPUA
-14.06,-39.64,IBIRATAIA
-12.65,-42.21,IBITIARA
-11.54,-41.97,IBITITA
-12.18,-43.22,IBOTIRAMA
-11.74,-39.19,ICHU
-13.77,-42.71,IGAPORA
-13.82,-39.14,IGRAPIUNA
-14.75,-40.08,IGUAI
-14.78,-39.04,ILHEUS
-11.78,-38.35,INHAMBUPE
-12.3,-39.3,IPECAETA
-14.13,-39.73,IPIAU
-12.15,-39.73,IPIRA
-11.82,-42.61,IPUPIARA
-13.25,-40.08,IRAJUBA
-13.28,-40.95,IRAMAIA
-12.24,-41.61,IRAQUARA
-12.05,-38.76,IRARA
-11.3,-41.85,IRECE
-16.57,-39.55,ITABELA
-12.52,-40.3,ITABERABA
-14.78,-39.28,ITABUNA
-14.27,-38.99,ITACARE
-12.98,-40.97,ITAETE
-14.16,-40,ITAGI
-14.28,-39.84,ITAGIBA
-16.08,-39.61,ITAGIMIRIM
-11.01,-42.39,ITAGUACU DA BAHIA
-15.14,-39.72,ITAJU DO COLONIA
-14.67,-39.37,ITAJUIPE
-17.03,-39.53,ITAMARAJU
-13.77,-39.68,ITAMARI
-15.24,-40.62,ITAMBE
-12.26,-38.04,ITANAGRA
-17.16,-40.33,ITANHEM
-12.88,-38.67,ITAPARICA
-14.89,-39.42,ITAPE
-15.95,-39.53,ITAPEBI
-15.24,-40.24,ITAPETINGA
-11.31,-38.23,ITAPICURU
-14.42,-39.56,ITAPITANGA
-13.45,-39.94,ITAQUARA
-15.66,-40.06,ITARANTIM
-12.71,-39.69,ITATIM
-13.53,-40.15,ITIRUCU
-10.69,-39.85,ITIUBA
-15.11,-40.07,ITORORO
-13.81,-41.29,ITUACU
-13.73,-39.14,ITUBERA
-14.41,-43.55,IUIU
-13.61,-44.43,JABORANDI
-14.85,-42.43,JACARACI
-11.18,-40.51,JACOBINA
-13.53,-39.97,JAGUAQUARA
-10.26,-40.19,JAGUARARI
-13.11,-38.89,JAGUARIPE
-11.56,-37.78,JANDAIRA
-13.85,-40.08,JEQUIE
-10.06,-38.35,JEREMOABO
-13.25,-39.57,JIQUIRICA
-14.01,-39.88,JITAUNA
-11.35,-41.66,JOAO DOURADO
-9.41,-40.5,JUAZEIRO
-16.84,-40.15,JUCURUCU
-11.04,-41.96,JUSSARA
-15.19,-39.49,JUSSARI
-13.51,-41.59,JUSSIAPE
-13.65,-40.21,LAFAIETE COUTINHO
-14.03,-42.14,LAGOA REAL
-13.18,-39.42,LAJE
-17.61,-40.34,LAJEDAO
-12.35,-40.9,LAJEDINHO
-13.47,-40.22,LAJEDO DO TABOCAL
-11.78,-38.9,LAMARAO
-11.38,-41.83,LAPAO
-12.89,-38.32,LAURO DE FREITAS
-12.56,-41.39,LENCOIS
-14.68,-42.5,LICINIO DE ALMEIDA
-13.64,-41.84,LIVRAMENTO DO BRUMADO
-12.13,-40.36,MACAJUBA
-15.56,-40.42,MACARANI
-13.01,-42.69,MACAUBAS
-9.16,-39.05,MACURURE
-12.74,-38.62,MADRE DE DEUS
-14.66,-41.49,MAETINGA
-15.62,-40.26,MAIQUINIQUE
-11.71,-40.14,MAIRI
-14.33,-43.77,MALHADA
-14.38,-41.87,MALHADA DE PEDRAS
-14.14,-40.24,MANOEL VITORINO
-10.71,-44.03,MANSIDAO
-13.44,-40.43,MARACAS
-12.77,-38.91,MARAGOGIPE
-14.1,-39.01,MARAU
-13,-40.53,MARCIONILIO SOUZA
-15.56,-39.3,MASCOTE
-12.53,-38.29,MATA DE SAO JOAO
-13.9,-42.84,MATINA
-17.37,-40.22,MEDEIROS NETO
-11.42,-40.59,MIGUEL CALMON
-12.87,-39.85,MILAGRES
-10.95,-40.57,MIRANGABA
-14.24,-40.77,MIRANTE
-10.43,-39.33,MONTE SANTO
-11.55,-43.28,MORPARA
-11.55,-41.15,MORRO DO CHAPEU
-15.02,-42.36,MORTUGABA
-13,-41.37,MUCUGE
-18.08,-39.55,MUCURI
-11.96,-41.63,MULUNGU DO MORRO
-11.85,-40.47,MUNDO NOVO
-13,-39.11,MUNIZ FERREIRA
-12.06,-43.54,MUQUEM DE SAO FRANCISCO
-12.62,-38.99,MURITIBA
-13.22,-39.5,MUTUIPE
-13.03,-39.01,NAZARE
-13.59,-39.1,NILO PECANHA
-10.82,-39.42,NORDESTINA
-14.79,-40.14,NOVA CANAA
-11.6,-39.63,NOVA FATIMA
-13.81,-39.62,NOVA IBIA
-13.02,-40.06,NOVA ITARANA
-12.81,-41.07,NOVA REDENCAO
-11.23,-38.48,NOVA SOURE
-17.89,-39.37,NOVA VICOSA
-12.8,-42.16,NOVO HORIZONTE
-10.31,-38.4,NOVO TRIUNFO
-11.36,-38.33,OLINDINA
